type,live_url,path,title,new_path,notes
page,https://www.baxstarfishing.com,/,Detroit Lakes Fishing Guide | Private Guided Trips | Baxstar Fishing,,
page,https://www.baxstarfishing.com/17-hybrid-ii-ice-castle-detroit-lakes,/17-hybrid-ii-ice-castle-detroit-lakes,17′ Ice Castle Hybrid II RV Edition | Premium Ice House Rental,,
page,https://www.baxstarfishing.com/17-ice-castle-luxury-rv-edition-rental,/17-ice-castle-luxury-rv-edition-rental,17′ Ice Castle RV Edition | Luxury Ice House Rental,,
page,https://www.baxstarfishing.com/21-ice-castle-rental,/21-ice-castle-rental,21' Ice Castle RV Extreme Edition | Detroit Lakes Sleeper House,,
page,https://www.baxstarfishing.com/about,/about,Brady Baxter — Detroit Lakes Fishing Guide | Baxstar Fishing,,
page,https://www.baxstarfishing.com/awards,/awards,Awards | Baxstar Fishing,,
page,https://www.baxstarfishing.com/basstomouth,/basstomouth,Team Bass To Mouth | Baxstar Fishing,,
page,https://www.baxstarfishing.com/datenight,/datenight,Date Night On The Ice | Baxstar Fishing,,
page,https://www.baxstarfishing.com/detroit-lakes-pontoon-rentals,/detroit-lakes-pontoon-rentals,Detroit Lakes Pontoon Rentals | Private 2-Day & Multi-Day | Baxstar Outdoors,,
page,https://www.baxstarfishing.com/detroitlakesfishingreport,/detroitlakesfishingreport,Detroit Lakes Fishing Report,,
page,https://www.baxstarfishing.com/familytrips,/familytrips,Family Trips | Baxstar Fishing,,
page,https://www.baxstarfishing.com/faq,/faq,"Baxstar Fishing FAQ | Trips, Gear & Booking Questions Answered",,
page,https://www.baxstarfishing.com/fishgallery,/fishgallery,Fishing Guide | Baxstar Fishing Guide Service | Minnesota,,
page,https://www.baxstarfishing.com/fishing-consultations,/fishing-consultations,No-Contact Consultations | Baxstar Fishing,,
page,https://www.baxstarfishing.com/fishing-trips,/fishing-trips,Detroit Lakes Fishing Guide | Guided Fishing Trips | Baxstar,,
page,https://www.baxstarfishing.com/guided-ice-fishing,/guided-ice-fishing,"Guided Ice Fishing Trips Detroit Lakes, MN | Baxstar Fishing",,
page,https://www.baxstarfishing.com/ice-castle-range-runner,/ice-castle-range-runner,"17' Range Runner Ice Castle Rental – Detroit Lakes, MN | Sleeps 5–6",,
page,https://www.baxstarfishing.com/ice-castle-rentals,/ice-castle-rentals,"Ice Castle Rentals in Detroit Lakes, MN | Baxstar Fishing",,
page,https://www.baxstarfishing.com/icefishing,/icefishing,"Ice Fishing in Detroit Lakes, MN | Sleepers, Day Houses & Guided Trips",,
page,https://www.baxstarfishing.com/icefishing/ice-house-rentals,/icefishing/ice-house-rentals,"Ice House Rentals in Detroit Lakes, MN | Baxstar Fishing",,
page,https://www.baxstarfishing.com/inquiry-services-page,/inquiry-services-page,Inquiry Services Page | Baxstar Fishing,,
page,https://www.baxstarfishing.com/jandk,/jandk,J and K Marine | Baxstar Fishing,,
page,https://www.baxstarfishing.com/lodging,/lodging,Lodging | Baxstar Fishing,,
page,https://www.baxstarfishing.com/muscatell,/muscatell,Muscatell Automotive | Baxstar Fishing,,
page,https://www.baxstarfishing.com/team-1,/team-1,Ice Safety | Baxstar Fishing,,
page,https://www.baxstarfishing.com/terms,/terms,Terms & Conditions | Baxstar Fishing,,
blog_post,https://www.baxstarfishing.com/post/detroit-lake-fishing-and-ice-report-12-9-25,/post/detroit-lake-fishing-and-ice-report-12-9-25,Detroit Lake Fishing and Ice Report (12/9/25)| Baxstar Fishing,,
blog_post,https://www.baxstarfishing.com/post/detroit-lake-fishing-report-1-15-25,/post/detroit-lake-fishing-report-1-15-25,Detroit Lake Fishing Report (1/15/25)| Baxstar Fishing,,
blog_post,https://www.baxstarfishing.com/post/detroit-lake-fishing-report-april-1-2026,/post/detroit-lake-fishing-report-april-1-2026,"Detroit Lake Fishing Report (April 1, 2026)| Baxstar Fishing",,
blog_post,https://www.baxstarfishing.com/post/detroit-lakes-fishing-and-ice-report-1-13-26,/post/detroit-lakes-fishing-and-ice-report-1-13-26,Detroit Lakes Fishing and Ice Report (1/13/26)| Baxstar Fishing,,
blog_post,https://www.baxstarfishing.com/post/detroit-lakes-fishing-and-ice-report-1-6-25,/post/detroit-lakes-fishing-and-ice-report-1-6-25,Detroit Lakes Fishing and Ice Report (1/6/25)| Baxstar Fishing,,
blog_post,https://www.baxstarfishing.com/post/detroit-lakes-fishing-and-ice-report-12-16-25,/post/detroit-lakes-fishing-and-ice-report-12-16-25,Detroit Lakes Fishing and Ice Report (12/16/25)| Baxstar Fishing,,
blog_post,https://www.baxstarfishing.com/post/detroit-lakes-fishing-and-ice-report-2-10-26,/post/detroit-lakes-fishing-and-ice-report-2-10-26,Detroit Lakes Fishing and Ice Report (2/10/26)| Baxstar Fishing,,
